respondent_id,age,gender,educ,region,income,q1_policy_likert,q1_support_binary,q2_worry,q3_financial_stress,q4_econ_confidence,support_prob,weight
R0037,18-34,Woman,No college,Midwest,Over $80k,Somewhat oppose,1,Retirement security,4,1,0.389360766050778,1.257464891632872
R0038,35-49,Woman,Bachelor+,South,Under $40k,Somewhat oppose,0,Job loss / automation,4,2,0.401312339887548,0.6623922010494621
R0039,18-34,Woman,Bachelor+,South,$40k–$80k,Neither,0,Housing costs,4,3,0.41338242108267,0.35179754999887203
R0040,18-34,Man,Bachelor+,Northeast,$40k–$80k,Neither,0,Retirement security,3,2,0.389360766050778,0.3872736220086664
R0041,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.3429895373265012,0.40125884971929787
R0042,35-49,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.389360766050778,1.306884977378032
R0043,50-64,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,2,0.299432857526027,1.1655043815174555
R0044,50-64,Man,Some college,Midwest,$40k–$80k,Neither,1,Job loss / automation,2,1,0.389360766050778,2.1093150133485548
R0045,18-34,Man,No college,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3318122278318339,0.9990915665210944
R0046,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,3,1,0.2689414213699951,0.6623922010494621
R0047,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.2689414213699951,0.37015253338017146
R0048,35-49,Man,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.259225100817846,2.096123851264957
R0049,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.3100255188723875,0.7555218410616938
R0050,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.3100255188723875,0.5944645532886987
R0051,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.299432857526027,2.390830309734841
R0052,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.320821300824607,0.6144883270987976
R0053,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.1824255238063563,1.0691023606390948
R0054,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951,1.0691023606390948
R0055,65+,Man,Some college,West,Under $40k,Somewhat oppose,0,Wages not keeping up,4,2,0.3775406687981454,3.1629327645290637
R0056,18-34,Woman,Bachelor+,South,,Neither,0,Housing costs,4,3,0.41338242108267,0.35179754999887203
R0057,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.2788848219771369,0.31572106838939346
R0058,50-64,Woman,No college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.3100255188723875,3.1629327645290637
R0059,18-34,Man,Bachelor+,South,,Somewhat oppose,0,Wages not keeping up,5,1,0.2404890830508889,0.3395362158296236
R0060,18-34,Man,Some college,Midwest,Over $80k,Neither,1,Job loss / automation,5,2,0.3543436937742045,0.6698973493958539
R0061,18-34,Woman,No college,Northeast,,Neither,1,Housing costs,3,2,0.52497918747894,1.3156278539669846
R0062,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.2497398944048823,0.5737454535119403
R0063,65+,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,3,1,0.2314752165009823,2.800197293693219
R0064,18-34,Man,Some college,South,$40k–$80k,Neither,1,Job loss / automation,4,3,0.4378234991142019,0.6144883270987976
R0065,18-34,Woman,No college,Northeast,Over $80k,Somewhat support,0,Wages not keeping up,4,2,0.401312339887548,1.3156278539669846
R0066,18-34,Woman,Bachelor+,West,Under $40k,Neither,0,Wages not keeping up,4,3,0.4875026035157896,0.31572106838939346
R0067,18-34,Woman,No college,Midwest,$40k–$80k,Neither,1,Healthcare costs,3,3,0.5124973964842103,1.257464891632872
R0068,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.3543436937742045,1.1987889848852524
R0069,18-34,Woman,Some college,Midwest,,Somewhat support,0,Healthcare costs,3,3,0.574442516811659,0.6940886871003358
R0070,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,4,2,0.2404890830508889,0.3395362158296236
R0071,18-34,Man,Some college,Midwest,$40k–$80k,Somewhat support,0,Retirement security,4,2,0.47502081252106,0.6698973493958539
R0072,18-34,Woman,Some college,Midwest,$40k–$80k,Somewhat support,1,Housing costs,3,1,0.549833997312478,0.6940886871003358
R0073,35-49,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,1,Job loss / automation,4,2,0.3100255188723875,0.6393055930608685
R0074,50-64,Man,Some college,South,,Somewhat oppose,0,Wages not keeping up,4,1,0.2497398944048824,1.9348478614609572
R0075,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Job loss / automation,5,1,0.299432857526027,0.35179754999887203
R0076,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.2404890830508889,0.3395362158296236
R0077,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.3543436937742045,1.153456568147061
R0078,18-34,Woman,Some college,South,Under $40k,Neither,0,Healthcare costs,4,1,0.5374298453437496,0.636678733807699
R0079,35-49,Man,Some college,South,,Somewhat oppose,0,Housing costs,4,2,0.289050497374996,1.1570071352329754
R0080,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951,0.6623922010494621
R0081,35-49,Man,Bachelor+,South,$40k–$80k,Neither,0,Job loss / automation,4,1,0.3100255188723875,0.6393055930608685
R0082,35-49,Man,No college,South,Under $40k,Neither,1,Wages not keeping up,3,1,0.389360766050778,2.096123851264957
R0083,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,5,2,0.3429895373265011,0.3395362158296236
R0084,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,5,1,0.2058703718009473,1.1655043815174555
R0085,65+,Woman,No college,South,$40k–$80k,Somewhat oppose,1,Housing costs,4,1,0.3429895373265011,3.1629327645290637
R0086,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.2404890830508889,0.3395362158296236
R0087,50-64,Woman,Some college,South,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.3100255188723875,2.004719100786816
R0088,35-49,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Housing costs,3,2,0.3543436937742045,0.5737454535119403
R0089,18-34,Man,Bachelor+,South,Under $40k,Somewhat oppose,0,Housing costs,4,3,0.3658644089891993,0.3395362158296236
R0090,65+,Woman,No college,West,Under $40k,Neither,0,Healthcare costs,4,3,0.41338242108267,3.1629327645290637
R0091,18-34,Man,Bachelor+,Midwest,Under $40k,Somewhat oppose,1,Retirement security,4,2,0.401312339887548,0.37015253338017146
R0092,35-49,Woman,Some college,Midwest,Over $80k,Neither,1,Housing costs,3,2,0.389360766050778,1.306884977378032
R0093,50-64,Woman,Bachelor+,Midwest,,Somewhat oppose,1,Healthcare costs,4,1,0.3658644089891993,1.207593083786198
R0094,35-49,Man,No college,Northeast,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,3,0.41338242108267,2.390830309734841
R0095,35-49,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,5,2,0.3775406687981454,0.6623922010494621
R0096,35-49,Woman,Bachelor+,West,$40k–$80k,Neither,0,Healthcare costs,4,3,0.425557483188341,0.5944645532886987
R0097,35-49,Woman,No college,South,Over $80k,Neither,0,Job loss / automation,4,2,0.320821300824607,2.1718190902476184
R0098,50-64,Man,Bachelor+,South,Under $40k,Somewhat oppose,1,Job loss / automation,4,2,0.289050497374996,1.0691023606390948
R0099,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.299432857526027,0.35179754999887203
R0100,65+,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.1544652650835346,2.800197293693219
R0101,18-34,Man,Some college,West,Over $80k,Neither,0,Retirement security,3,2,0.3658644089891993,0.5514731729799301
R0102,35-49,Man,No college,South,,Strongly oppose,1,Wages not keeping up,5,1,0.259225100817846,2.096123851264957
R0103,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,4,1,0.2689414213699951,1.0691023606390948
R0104,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Wages not keeping up,4,2,0.3100255188723875,0.7555218410616938
R0105,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,1,Healthcare costs,3,2,0.299432857526027,2.390830309734841
R0106,18-34,Woman,Bachelor+,South,Under $40k,Neither,0,Housing costs,5,3,0.4378234991142019,0.35179754999887203
R0107,18-34,Man,Bachelor+,West,$40k–$80k,Neither,1,Healthcare costs,4,1,0.389360766050778,0.31572106838939346
R0108,50-64,Woman,No college,West,Over $80k,Somewhat oppose,1,Job loss / automation,4,3,0.320821300824607,3.1629327645290637
R0109,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Housing costs,3,2,0.389360766050778,0.31572106838939346
R0110,35-49,Woman,Some college,West,$40k–$80k,Somewhat support,0,Wages not keeping up,3,2,0.52497918747894,1.0758543914891445
R0111,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,5,2,0.299432857526027,0.35179754999887203
R0112,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,4,3,0.3775406687981454,0.37015253338017146
R0113,35-49,Woman,Some college,Northeast,Under $40k,Neither,1,Housing costs,3,2,0.549833997312478,1.367333823481043
R0114,50-64,Man,No college,West,$40k–$80k,Neither,0,Wages not keeping up,5,3,0.3658644089891993,3.1458533801834325
R0115,35-49,Man,Some college,West,Over $80k,Somewhat oppose,1,Healthcare costs,4,2,0.3318122278318339,1.0383572281020084
R0116,35-49,Woman,No college,West,$40k–$80k,Somewhat support,0,Retirement security,3,3,0.4875026035157896,1.9491012473613227
R0117,35-49,Woman,Bachelor+,South,Under $40k,Neither,1,Healthcare costs,3,2,0.401312339887548,0.6623922010494621
R0118,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,1,Retirement security,3,2,0.3429895373265012,0.31572106838939346
R0119,18-34,Man,Some college,South,$40k–$80k,Neither,0,Retirement security,3,3,0.4378234991142019,0.6144883270987976
R0120,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.3543436937742045,1.1987889848852524
R0121,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,1,Wages not keeping up,4,2,0.389360766050778,0.31572106838939346
R0122,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Job loss / automation,5,2,0.2689414213699951,1.0691023606390948
R0123,18-34,Woman,No college,South,Under $40k,Somewhat oppose,0,Job loss / automation,4,2,0.5,1.153456568147061
R0124,35-49,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Healthcare costs,4,1,0.3429895373265011,0.6969524128593626
R0125,18-34,Man,Some college,Midwest,Over $80k,Neither,0,Retirement security,4,1,0.3543436937742045,0.6698973493958539
R0126,18-34,Man,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.389360766050778,0.3872736220086664
R0127,18-34,Man,No college,South,$40k–$80k,Neither,0,Wages not keeping up,4,3,0.401312339887548,1.1132547065030258
R0128,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.320821300824607,0.6144883270987976
R0129,35-49,Man,No college,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.299432857526027,1.8811684782909501
R0130,18-34,Man,No college,West,Over $80k,Somewhat oppose,0,Job loss / automation,3,1,0.3318122278318339,0.9990915665210944
R0131,18-34,Woman,Bachelor+,Midwest,Under $40k,Neither,0,Housing costs,4,2,0.47502081252106,0.3835194842200946
R0132,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3429895373265012,0.31572106838939346
R0133,35-49,Woman,Some college,South,$40k–$80k,Neither,1,Wages not keeping up,3,3,0.47502081252106,1.1987889848852524
R0134,35-49,Man,Some college,South,,Somewhat oppose,0,Job loss / automation,4,2,0.401312339887548,1.1570071352329754
R0135,35-49,Woman,Bachelor+,South,Under $40k,Somewhat oppose,0,Wages not keeping up,3,3,0.401312339887548,0.6623922010494621
R0136,18-34,Man,Some college,Midwest,,Neither,0,Housing costs,3,2,0.5,0.6698973493958539
R0137,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.2404890830508889,0.3395362158296236
R0138,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.2141650169574414,0.6393055930608685
R0139,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,5,2,0.2141650169574414,0.6393055930608685
R0140,35-49,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,1,Retirement security,4,2,0.3429895373265011,0.6969524128593626
R0141,18-34,Woman,Some college,South,$40k–$80k,Neither,0,Wages not keeping up,4,2,0.5124973964842103,0.636678733807699
R0142,50-64,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.2314752165009823,1.1077097924645887
R0143,35-49,Woman,No college,South,Over $80k,Somewhat oppose,1,Job loss / automation,5,2,0.320821300824607,2.1718190902476184
R0144,18-34,Man,No college,South,Over $80k,Neither,0,Retirement security,4,2,0.289050497374996,1.1132547065030258
R0145,35-49,Woman,No college,Northeast,Over $80k,Neither,0,Job loss / automation,4,1,0.3658644089891993,2.477167990379596
R0146,35-49,Man,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,1,0.3543436937742045,0.7291893502144638
R0147,18-34,Man,Some college,West,Under $40k,Somewhat support,0,Housing costs,4,3,0.5124973964842103,0.5514731729799301
R0148,35-49,Woman,Bachelor+,West,,Neither,0,Housing costs,4,2,0.3100255188723875,0.5944645532886987
R0149,50-64,Woman,Bachelor+,West,Over $80k,Neither,0,Wages not keeping up,5,1,0.2689414213699951,0.994115277788133
R0150,65+,Man,Bachelor+,West,$40k–$80k,Strongly oppose,0,Housing costs,4,1,0.2689414213699951,2.5130399039696165
R0151,18-34,Man,Some college,South,Over $80k,Neither,0,Healthcare costs,3,1,0.320821300824607,0.6144883270987976
R0152,18-34,Woman,No college,Midwest,Over $80k,Neither,0,Retirement security,4,2,0.389360766050778,1.257464891632872
R0153,35-49,Woman,No college,South,Over $80k,Neither,0,Housing costs,4,1,0.320821300824607,2.1718190902476184
R0154,18-34,Man,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.289050497374996,1.1132547065030258
R0155,18-34,Woman,Bachelor+,Northeast,,Somewhat oppose,0,Wages not keeping up,4,3,0.4625701546562504,0.40125884971929787
R0156,65+,Woman,Bachelor+,South,,Somewhat oppose,1,Job loss / automation,5,2,0.1978161114414182,2.901318037687803
R0157,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.299432857526027,0.35179754999887203
R0158,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.3318122278318339,0.3835194842200946
R0159,35-49,Woman,Bachelor+,Midwest,Over $80k,Strongly oppose,1,Job loss / automation,5,2,0.299432857526027,0.7221207632023516
R0160,18-34,Woman,No college,Midwest,$40k–$80k,Neither,0,Healthcare costs,4,3,0.5124973964842103,1.257464891632872
R0161,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,4,2,0.4501660026875221,0.3835194842200946
R0162,35-49,Woman,Bachelor+,South,$40k–$80k,Neither,0,Job loss / automation,4,1,0.3775406687981454,0.6623922010494621
R0163,18-34,Man,No college,Midwest,$40k–$80k,Neither,0,Job loss / automation,3,2,0.4378234991142019,1.213637988226473
R0164,18-34,Woman,Some college,Midwest,Over $80k,Neither,0,Healthcare costs,4,2,0.425557483188341,0.6940886871003358
R0165,18-34,Woman,Bachelor+,West,$40k–$80k,Neither,1,Healthcare costs,3,3,0.4625701546562504,0.31572106838939346
R0166,35-49,Woman,No college,South,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.320821300824607,2.1718190902476184
R0167,35-49,Man,Some college,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3318122278318339,1.0383572281020084
R0168,35-49,Woman,Bachelor+,South,Over $80k,Neither,0,Job loss / automation,3,2,0.2689414213699951,0.6623922010494621
R0169,35-49,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,5,3,0.2404890830508889,0.6969524128593626
R0170,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.2497398944048823,0.5737454535119403
R0171,18-34,Woman,Some college,West,Over $80k,Neither,0,Housing costs,4,2,0.4378234991142019,0.5713879760084106
R0172,35-49,Man,No college,South,$40k–$80k,Neither,0,Housing costs,5,3,0.3658644089891993,2.096123851264957
R0173,18-34,Woman,No college,West,Over $80k,Neither,0,Housing costs,4,2,0.401312339887548,1.035170768066239
R0174,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,1,Housing costs,4,3,0.3543436937742045,1.1987889848852524
R0175,18-34,Man,Some college,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.3543436937742045,0.6698973493958539
R0176,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Wages not keeping up,3,3,0.2497398944048823,0.5737454535119403
R0177,35-49,Man,No college,South,,Somewhat oppose,0,Retirement security,4,2,0.259225100817846,2.096123851264957
R0178,65+,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Housing costs,5,1,0.2227001388253088,3.1629327645290637
R0179,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Healthcare costs,3,1,0.2788848219771369,0.31572106838939346
R0180,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.3429895373265012,0.31572106838939346
R0181,18-34,Man,Some college,Midwest,$40k–$80k,Somewhat oppose,0,Retirement security,3,3,0.47502081252106,0.6698973493958539
R0182,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.3429895373265012,0.40125884971929787
R0183,65+,Woman,Some college,West,Under $40k,Neither,1,Retirement security,3,3,0.4501660026875221,3.1629327645290637
R0184,18-34,Man,Bachelor+,Northeast,Over $80k,Neither,0,Healthcare costs,4,3,0.2788848219771369,0.3872736220086664
R0185,18-34,Woman,No college,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.401312339887548,1.3156278539669846
R0186,35-49,Woman,No college,South,Over $80k,Neither,0,Job loss / automation,5,1,0.320821300824607,2.1718190902476184
R0187,18-34,Man,Some college,South,Under $40k,Somewhat oppose,1,Wages not keeping up,3,1,0.4625701546562504,0.6144883270987976
R0188,50-64,Woman,Some college,South,$40k–$80k,Neither,0,Wages not keeping up,4,3,0.425557483188341,2.004719100786816
R0189,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,4,3,0.41338242108267,0.35179754999887203
R0190,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,5,3,0.2689414213699951,1.0691023606390948
R0191,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,5,1,0.2141650169574414,0.6393055930608685
R0192,18-34,Woman,Some college,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,3,0.4378234991142019,0.5713879760084106
R0193,18-34,Man,Bachelor+,South,Over $80k,Strongly oppose,1,Job loss / automation,5,3,0.2404890830508889,0.3395362158296236
R0194,18-34,Woman,Some college,West,Over $80k,Neither,0,Retirement security,3,2,0.4378234991142019,0.5713879760084106
R0195,35-49,Woman,Bachelor+,South,$40k–$80k,Neither,1,Housing costs,4,3,0.3775406687981454,0.6623922010494621
R0196,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.2058703718009473,1.1655043815174555
R0197,18-34,Woman,Bachelor+,Midwest,,Somewhat oppose,1,Healthcare costs,5,2,0.3318122278318339,0.3835194842200946
R0198,18-34,Man,Bachelor+,South,,Strongly oppose,1,Healthcare costs,4,1,0.2404890830508889,0.3395362158296236
R0199,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012,0.31572106838939346
R0200,18-34,Man,Some college,West,$40k–$80k,Neither,0,Wages not keeping up,3,2,0.4875026035157896,0.5514731729799301
R0201,18-34,Woman,No college,Midwest,Over $80k,Neither,0,Job loss / automation,4,3,0.389360766050778,1.257464891632872
R0202,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Wages not keeping up,3,3,0.4501660026875221,0.3835194842200946
R0203,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,3,2,0.3775406687981454,0.37015253338017146
R0204,18-34,Man,Bachelor+,West,Over $80k,Strongly oppose,0,Wages not keeping up,4,2,0.2788848219771369,0.31572106838939346
R0205,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.299432857526027,0.35179754999887203
R0206,35-49,Woman,No college,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.4378234991142019,2.1718190902476184
R0207,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Job loss / automation,4,1,0.3318122278318339,0.3835194842200946
R0208,35-49,Woman,Some college,Midwest,$40k–$80k,Neither,1,Housing costs,2,3,0.5124973964842103,1.306884977378032
R0209,18-34,Man,Bachelor+,Midwest,Under $40k,Neither,0,Wages not keeping up,4,2,0.401312339887548,0.37015253338017146
R0210,65+,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.2689414213699951,3.1629327645290637
R0211,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,3,0.2058703718009473,1.1655043815174555
R0212,35-49,Woman,No college,South,$40k–$80k,Neither,0,Wages not keeping up,3,3,0.4378234991142019,2.1718190902476184
R0213,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,3,3,0.41338242108267,0.35179754999887203
R0214,18-34,Woman,Bachelor+,West,Under $40k,Neither,1,Housing costs,4,2,0.4875026035157896,0.31572106838939346
