respondent_id,age,gender,educ,region,income,q1_policy_likert,q1_support_binary,q2_worry,q3_financial_stress,q4_econ_confidence,support_prob
R0063,65+,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,3,1,0.23147521650098232
R0064,18-34,Man,Some college,South,$40k–$80k,Neither,1,Job loss / automation,4,3,0.43782349911420193
R0065,18-34,Woman,No college,Northeast,Over $80k,Somewhat support,0,Wages not keeping up,4,2,0.401312339887548
R0066,18-34,Woman,Bachelor+,West,Under $40k,Neither,0,Wages not keeping up,4,3,0.4875026035157896
R0067,18-34,Woman,No college,Midwest,$40k–$80k,Neither,1,Healthcare costs,3,3,0.5124973964842103
R0068,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.35434369377420455
R0069,18-34,Woman,Some college,Midwest,,Somewhat support,0,Healthcare costs,3,3,0.574442516811659
R0070,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,4,2,0.24048908305088898
R0071,18-34,Man,Some college,Midwest,$40k–$80k,Somewhat support,0,Retirement security,4,2,0.47502081252106
R0072,18-34,Woman,Some college,Midwest,$40k–$80k,Somewhat support,1,Housing costs,3,1,0.549833997312478
R0073,35-49,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,1,Job loss / automation,4,2,0.31002551887238755
R0074,50-64,Man,Some college,South,,Somewhat oppose,0,Wages not keeping up,4,1,0.24973989440488245
R0075,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Job loss / automation,5,1,0.29943285752602705
R0076,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.24048908305088898
R0077,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.35434369377420455
R0078,18-34,Woman,Some college,South,Under $40k,Neither,0,Healthcare costs,4,1,0.5374298453437496
R0079,35-49,Man,Some college,South,,Somewhat oppose,0,Housing costs,4,2,0.28905049737499605
R0080,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951
R0081,35-49,Man,Bachelor+,South,$40k–$80k,Neither,0,Job loss / automation,4,1,0.31002551887238755
R0082,35-49,Man,No college,South,Under $40k,Neither,1,Wages not keeping up,3,1,0.389360766050778
R0083,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,5,2,0.34298953732650117
R0084,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,5,1,0.20587037180094733
R0085,65+,Woman,No college,South,$40k–$80k,Somewhat oppose,1,Housing costs,4,1,0.34298953732650117
R0086,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.24048908305088898
R0087,50-64,Woman,Some college,South,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.31002551887238755
R0088,35-49,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Housing costs,3,2,0.35434369377420455
R0089,18-34,Man,Bachelor+,South,Under $40k,Somewhat oppose,0,Housing costs,4,3,0.36586440898919936
R0090,65+,Woman,No college,West,Under $40k,Neither,0,Healthcare costs,4,3,0.41338242108267
R0091,18-34,Man,Bachelor+,Midwest,Under $40k,Somewhat oppose,1,Retirement security,4,2,0.401312339887548
R0092,35-49,Woman,Some college,Midwest,Over $80k,Neither,1,Housing costs,3,2,0.389360766050778
R0093,50-64,Woman,Bachelor+,Midwest,,Somewhat oppose,1,Healthcare costs,4,1,0.36586440898919936
R0094,35-49,Man,No college,Northeast,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,3,0.41338242108267
R0095,35-49,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,5,2,0.3775406687981454
R0096,35-49,Woman,Bachelor+,West,$40k–$80k,Neither,0,Healthcare costs,4,3,0.425557483188341
R0097,35-49,Woman,No college,South,Over $80k,Neither,0,Job loss / automation,4,2,0.320821300824607
R0098,50-64,Man,Bachelor+,South,Under $40k,Somewhat oppose,1,Job loss / automation,4,2,0.28905049737499605
R0099,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.29943285752602705
R0100,65+,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.15446526508353467
R0101,18-34,Man,Some college,West,Over $80k,Neither,0,Retirement security,3,2,0.36586440898919936
R0102,35-49,Man,No college,South,,Strongly oppose,1,Wages not keeping up,5,1,0.25922510081784605
R0103,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,4,1,0.2689414213699951
R0104,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Wages not keeping up,4,2,0.31002551887238755
R0105,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,1,Healthcare costs,3,2,0.29943285752602705
R0106,18-34,Woman,Bachelor+,South,Under $40k,Neither,0,Housing costs,5,3,0.43782349911420193
R0107,18-34,Man,Bachelor+,West,$40k–$80k,Neither,1,Healthcare costs,4,1,0.389360766050778
R0108,50-64,Woman,No college,West,Over $80k,Somewhat oppose,1,Job loss / automation,4,3,0.320821300824607
R0109,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Housing costs,3,2,0.389360766050778
R0110,35-49,Woman,Some college,West,$40k–$80k,Somewhat support,0,Wages not keeping up,3,2,0.52497918747894
R0111,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,5,2,0.29943285752602705
R0112,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,4,3,0.3775406687981454
R0113,35-49,Woman,Some college,Northeast,Under $40k,Neither,1,Housing costs,3,2,0.549833997312478
R0114,50-64,Man,No college,West,$40k–$80k,Neither,0,Wages not keeping up,5,3,0.36586440898919936
R0115,35-49,Man,Some college,West,Over $80k,Somewhat oppose,1,Healthcare costs,4,2,0.3318122278318339
R0116,35-49,Woman,No college,West,$40k–$80k,Somewhat support,0,Retirement security,3,3,0.4875026035157896
R0117,35-49,Woman,Bachelor+,South,Under $40k,Neither,1,Healthcare costs,3,2,0.401312339887548
R0118,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,1,Retirement security,3,2,0.3429895373265012
R0119,18-34,Man,Some college,South,$40k–$80k,Neither,0,Retirement security,3,3,0.43782349911420193
R0120,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.35434369377420455
R0121,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,1,Wages not keeping up,4,2,0.389360766050778
R0122,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Job loss / automation,5,2,0.2689414213699951
R0123,18-34,Woman,No college,South,Under $40k,Somewhat oppose,0,Job loss / automation,4,2,0.5
R0124,35-49,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Healthcare costs,4,1,0.34298953732650117
R0125,18-34,Man,Some college,Midwest,Over $80k,Neither,0,Retirement security,4,1,0.35434369377420455
R0126,18-34,Man,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.389360766050778
R0127,18-34,Man,No college,South,$40k–$80k,Neither,0,Wages not keeping up,4,3,0.401312339887548
R0128,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.320821300824607
R0129,35-49,Man,No college,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.29943285752602705
R0130,18-34,Man,No college,West,Over $80k,Somewhat oppose,0,Job loss / automation,3,1,0.3318122278318339
R0131,18-34,Woman,Bachelor+,Midwest,Under $40k,Neither,0,Housing costs,4,2,0.47502081252106
R0132,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3429895373265012
R0133,35-49,Woman,Some college,South,$40k–$80k,Neither,1,Wages not keeping up,3,3,0.47502081252106
R0134,35-49,Man,Some college,South,,Somewhat oppose,0,Job loss / automation,4,2,0.401312339887548
R0135,35-49,Woman,Bachelor+,South,Under $40k,Somewhat oppose,0,Wages not keeping up,3,3,0.401312339887548
R0136,18-34,Man,Some college,Midwest,,Neither,0,Housing costs,3,2,0.5
R0137,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.24048908305088898
R0138,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.21416501695744142
R0139,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,5,2,0.21416501695744142
R0140,35-49,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,1,Retirement security,4,2,0.34298953732650117
R0141,18-34,Woman,Some college,South,$40k–$80k,Neither,0,Wages not keeping up,4,2,0.5124973964842103
R0142,50-64,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.23147521650098238
R0143,35-49,Woman,No college,South,Over $80k,Somewhat oppose,1,Job loss / automation,5,2,0.320821300824607
R0144,18-34,Man,No college,South,Over $80k,Neither,0,Retirement security,4,2,0.28905049737499605
R0145,35-49,Woman,No college,Northeast,Over $80k,Neither,0,Job loss / automation,4,1,0.36586440898919936
R0146,35-49,Man,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,1,0.35434369377420455
R0147,18-34,Man,Some college,West,Under $40k,Somewhat support,0,Housing costs,4,3,0.5124973964842103
R0148,35-49,Woman,Bachelor+,West,,Neither,0,Housing costs,4,2,0.31002551887238755
R0149,50-64,Woman,Bachelor+,West,Over $80k,Neither,0,Wages not keeping up,5,1,0.2689414213699951
R0150,65+,Man,Bachelor+,West,$40k–$80k,Strongly oppose,0,Housing costs,4,1,0.2689414213699951
R0151,18-34,Man,Some college,South,Over $80k,Neither,0,Healthcare costs,3,1,0.320821300824607
R0152,18-34,Woman,No college,Midwest,Over $80k,Neither,0,Retirement security,4,2,0.389360766050778
R0153,35-49,Woman,No college,South,Over $80k,Neither,0,Housing costs,4,1,0.320821300824607
R0154,18-34,Man,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.28905049737499605
R0155,18-34,Woman,Bachelor+,Northeast,,Somewhat oppose,0,Wages not keeping up,4,3,0.46257015465625045
R0156,65+,Woman,Bachelor+,South,,Somewhat oppose,1,Job loss / automation,5,2,0.19781611144141825
R0157,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.29943285752602705
R0158,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.3318122278318339
R0159,35-49,Woman,Bachelor+,Midwest,Over $80k,Strongly oppose,1,Job loss / automation,5,2,0.29943285752602705
R0160,18-34,Woman,No college,Midwest,$40k–$80k,Neither,0,Healthcare costs,4,3,0.5124973964842103
R0161,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,4,2,0.45016600268752216
R0162,35-49,Woman,Bachelor+,South,$40k–$80k,Neither,0,Job loss / automation,4,1,0.3775406687981454
R0163,18-34,Man,No college,Midwest,$40k–$80k,Neither,0,Job loss / automation,3,2,0.43782349911420193
R0164,18-34,Woman,Some college,Midwest,Over $80k,Neither,0,Healthcare costs,4,2,0.425557483188341
R0165,18-34,Woman,Bachelor+,West,$40k–$80k,Neither,1,Healthcare costs,3,3,0.46257015465625045
R0166,35-49,Woman,No college,South,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.320821300824607
R0167,35-49,Man,Some college,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3318122278318339
R0168,35-49,Woman,Bachelor+,South,Over $80k,Neither,0,Job loss / automation,3,2,0.2689414213699951
R0169,35-49,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,5,3,0.24048908305088898
R0170,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.24973989440488234
R0171,18-34,Woman,Some college,West,Over $80k,Neither,0,Housing costs,4,2,0.43782349911420193
R0172,35-49,Man,No college,South,$40k–$80k,Neither,0,Housing costs,5,3,0.36586440898919936
R0173,18-34,Woman,No college,West,Over $80k,Neither,0,Housing costs,4,2,0.401312339887548
R0174,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,1,Housing costs,4,3,0.35434369377420455
R0175,18-34,Man,Some college,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.35434369377420455
R0176,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Wages not keeping up,3,3,0.24973989440488234
R0177,35-49,Man,No college,South,,Somewhat oppose,0,Retirement security,4,2,0.25922510081784605
R0178,65+,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Housing costs,5,1,0.22270013882530884
R0179,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Healthcare costs,3,1,0.27888482197713693
R0180,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.3429895373265012
R0181,18-34,Man,Some college,Midwest,$40k–$80k,Somewhat oppose,0,Retirement security,3,3,0.47502081252106
R0182,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.3429895373265012
R0183,65+,Woman,Some college,West,Under $40k,Neither,1,Retirement security,3,3,0.45016600268752216
R0184,18-34,Man,Bachelor+,Northeast,Over $80k,Neither,0,Healthcare costs,4,3,0.27888482197713693
R0185,18-34,Woman,No college,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.401312339887548
R0186,35-49,Woman,No college,South,Over $80k,Neither,0,Job loss / automation,5,1,0.320821300824607
R0187,18-34,Man,Some college,South,Under $40k,Somewhat oppose,1,Wages not keeping up,3,1,0.46257015465625045
R0188,50-64,Woman,Some college,South,$40k–$80k,Neither,0,Wages not keeping up,4,3,0.425557483188341
R0189,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,4,3,0.41338242108267
R0190,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,5,3,0.2689414213699951
R0191,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,5,1,0.21416501695744142
R0192,18-34,Woman,Some college,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,3,0.43782349911420193
R0193,18-34,Man,Bachelor+,South,Over $80k,Strongly oppose,1,Job loss / automation,5,3,0.24048908305088898
R0194,18-34,Woman,Some college,West,Over $80k,Neither,0,Retirement security,3,2,0.43782349911420193
R0195,35-49,Woman,Bachelor+,South,$40k–$80k,Neither,1,Housing costs,4,3,0.3775406687981454
R0196,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.20587037180094733
R0197,18-34,Woman,Bachelor+,Midwest,,Somewhat oppose,1,Healthcare costs,5,2,0.3318122278318339
R0198,18-34,Man,Bachelor+,South,,Strongly oppose,1,Healthcare costs,4,1,0.24048908305088898
R0199,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012
R0200,18-34,Man,Some college,West,$40k–$80k,Neither,0,Wages not keeping up,3,2,0.4875026035157896
R0201,18-34,Woman,No college,Midwest,Over $80k,Neither,0,Job loss / automation,4,3,0.389360766050778
R0202,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Wages not keeping up,3,3,0.45016600268752216
R0203,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,3,2,0.3775406687981454
R0204,18-34,Man,Bachelor+,West,Over $80k,Strongly oppose,0,Wages not keeping up,4,2,0.27888482197713693
R0205,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.29943285752602705
R0206,35-49,Woman,No college,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.43782349911420193
R0207,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Job loss / automation,4,1,0.3318122278318339
R0208,35-49,Woman,Some college,Midwest,$40k–$80k,Neither,1,Housing costs,2,3,0.5124973964842103
R0209,18-34,Man,Bachelor+,Midwest,Under $40k,Neither,0,Wages not keeping up,4,2,0.401312339887548
R0210,65+,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.2689414213699951
R0211,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,3,0.20587037180094733
R0212,35-49,Woman,No college,South,$40k–$80k,Neither,0,Wages not keeping up,3,3,0.43782349911420193
R0213,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,3,3,0.41338242108267
R0214,18-34,Woman,Bachelor+,West,Under $40k,Neither,1,Housing costs,4,2,0.4875026035157896
R0215,18-34,Woman,Bachelor+,West,$40k–$80k,Neither,1,Job loss / automation,4,3,0.46257015465625045
R0216,65+,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,3,1,0.23147521650098232
R0217,50-64,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.3429895373265012
R0218,35-49,Man,Bachelor+,Northeast,Over $80k,Neither,0,Healthcare costs,4,1,0.24973989440488234
R0219,18-34,Woman,Some college,West,,Somewhat support,0,Healthcare costs,5,3,0.43782349911420193
R0220,50-64,Woman,Some college,South,$40k–$80k,Neither,1,Wages not keeping up,3,1,0.425557483188341
R0221,18-34,Man,Bachelor+,South,,Strongly oppose,0,Housing costs,4,2,0.24048908305088898
R0222,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Retirement security,5,2,0.29943285752602705
R0223,50-64,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,2,0.21416501695744142
R0224,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,5,3,0.34298953732650117
R0225,50-64,Woman,Bachelor+,South,Under $40k,Somewhat oppose,0,Healthcare costs,4,2,0.35434369377420455
R0226,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.2689414213699951
R0227,18-34,Woman,No college,Midwest,Over $80k,Neither,1,Healthcare costs,4,2,0.389360766050778
R0228,50-64,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.21416501695744142
R0229,35-49,Man,Bachelor+,Northeast,$40k–$80k,Neither,1,Wages not keeping up,4,2,0.35434369377420455
R0230,50-64,Man,Bachelor+,Midwest,Over $80k,Strongly oppose,1,Wages not keeping up,4,2,0.20587037180094733
R0231,50-64,Woman,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.27888482197713693
R0232,18-34,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.389360766050778
R0233,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951
R0234,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.18242552380635635
R0235,35-49,Woman,No college,South,$40k–$80k,Neither,0,Job loss / automation,3,1,0.43782349911420193
R0236,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,2,0.2689414213699951
R0237,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,1,Healthcare costs,3,2,0.3775406687981454
R0238,65+,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.23147521650098232
R0239,50-64,Man,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.21416501695744142
R0240,18-34,Man,Bachelor+,Northeast,Under $40k,Neither,0,Healthcare costs,4,2,0.41338242108267
R0241,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Retirement security,4,3,0.24973989440488234
R0242,18-34,Man,Bachelor+,South,Over $80k,Strongly oppose,0,Housing costs,5,3,0.24048908305088898
R0243,50-64,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,1,Healthcare costs,4,3,0.31002551887238755
R0244,18-34,Woman,Bachelor+,West,$40k–$80k,Neither,0,Housing costs,4,2,0.46257015465625045
R0245,35-49,Woman,Bachelor+,South,$40k–$80k,Neither,1,Wages not keeping up,3,3,0.3775406687981454
R0246,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.29943285752602705
R0247,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.320821300824607
R0248,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Housing costs,5,1,0.27888482197713693
